,DT_score_id3,DT_score_c45,RandomForest_gini,RandomForest_entropy,AdaBoost64,LassoLinear,multi_Lasso,SVM,multi_svm,Volcano Plot_p,Volcano Plot_fold,XGboost,Lightgbm
REG4,,,,,,,,0.0007268879168886946,0.00021710457397647396,,,,
MON1A,,,,,,,,0.0008469996738941175,0.0003372200192910652,,,,
MRPS18B,,,,,,,,,0.0,,,,
HTRA3,,,,,,,,,,1.1507960936771222,,,
ITGBL1,,,,,,,,,,1.1074377845993226,,,
SULF2,,,,,,,,,,1.0511588529285811,,,
COL3A1,,,,,,,,,,1.0992261573502446,,,
FBLN2,,,,,,,,,,1.0720455045156436,,,
COL8A1,,,,,,,,,,1.1522060431444512,,,
NNMT,,,,,,,,,,1.05301707771136,,,
FAP,,,,,,,,,,1.0897798244955492,,0.013945771,
KRT19,,,,,,,,,,1.0874279922846108,,,
ADAMTS12,,,,,,,,,,1.030729959885367,,,8.0
S100A11,,,,,,,,,,1.301018059909376,,,
DHRS2,,,,,,,,,,,6.768265985883176,,
CPA1,,,,,,,,,,,15.254514242777253,,
CLPS,,,,,,,,,,,11.087468997783953,,
PAIP2B,,,,,,,,,,,17.250556564809457,,
SLC43A1,,,,,,,,,,,15.694348121878528,,
NUPR1,,,,,,,,,,,9.806693085401365,,
AMY2A,,,,,,,,,,,14.329557825210186,,
CEL,,,,,,,,,,,12.543391208350531,,
CPA2,,,,,,,,,,,13.405327165312245,,
AMY2B,,,,,,,,,,,13.74111721573987,,
PNLIP,,,,,,,,,,,14.979627751185479,,
PNLIPRP2,,,,,,,,,,,9.823715841286353,,
AQP12B,,,,,,,,,,,10.288774099168117,,
KLK1,,,,,,,,,,,14.433470680019296,,
PRSS3,,,,,,,,,,,11.0333682221428,,
SERPINI2,,,,,,,,,,,15.243067603229319,,
SYCN,,,,,,,,,,,13.66202819385773,,
AQP8,,,,,,,,,,,14.893963824039387,,
SCEL,,,,,,,,,,,,0.01196674,
ABAT,,,,,,,,,,,,0.012321042,
ACBD5,,,,,,,,,,,,0.01638045,
SFN,,,,,,,,,,,,0.026905827,
NPY,,,,,,,,,,,,0.027253099,
ADH1A,,,,,,,,,,,,0.027806474,
NUMB,,,,,,,,,,,,0.029569061,
HK1,,,,,,,,,,,,,6.0
CD55,,,,,,,,,,,,,6.0
MRPS6,,,,,,,,,,,,,8.0
MRPS28,,,,,,,,,,,,,8.0
AASS,,,,,,,,,,,,,9.0
PPP1R12A,,,,,,,,,,,,,13.0
FAT1,,,,,,,,,,,,,14.0
NDUFV2,,,,,,,,,,,,,16.0
